areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
region,London,E12000007,2021-03-26,457,724163,447,723048,10,1115
region,London,E12000007,2021-03-25,471,723706,461,722601,10,1105
region,London,E12000007,2021-03-24,636,723235,625,722140,11,1095
region,London,E12000007,2021-03-23,489,722599,486,721515,3,1084
region,London,E12000007,2021-03-22,553,722110,546,721029,7,1081
region,London,E12000007,2021-03-21,479,721557,470,720483,9,1074
region,London,E12000007,2021-03-20,387,721078,386,720013,1,1065
region,London,E12000007,2021-03-19,452,720691,450,719627,2,1064
region,London,E12000007,2021-03-18,485,720239,484,719177,1,1062
region,London,E12000007,2021-03-17,477,719754,473,718693,4,1061
region,London,E12000007,2021-03-16,522,719277,518,718220,4,1057
region,London,E12000007,2021-03-15,617,718755,612,717702,5,1053
region,London,E12000007,2021-03-14,372,718138,368,717090,4,1048
region,London,E12000007,2021-03-13,383,717766,380,716722,3,1044
region,London,E12000007,2021-03-12,528,717383,524,716342,4,1041
region,London,E12000007,2021-03-11,472,716855,467,715818,5,1037
region,London,E12000007,2021-03-10,545,716383,544,715351,1,1032
region,London,E12000007,2021-03-09,616,715838,609,714807,7,1031
region,London,E12000007,2021-03-08,581,715222,575,714198,6,1024
region,London,E12000007,2021-03-07,425,714641,424,713623,1,1018
region,London,E12000007,2021-03-06,416,714216,414,713199,2,1017
region,London,E12000007,2021-03-05,515,713800,514,712785,1,1015
region,London,E12000007,2021-03-04,534,713285,528,712271,6,1014
region,London,E12000007,2021-03-03,596,712751,593,711743,3,1008
region,London,E12000007,2021-03-02,678,712155,672,711150,6,1005
region,London,E12000007,2021-03-01,576,711477,567,710478,9,999
region,London,E12000007,2021-02-28,499,710901,496,709911,3,990
region,London,E12000007,2021-02-27,528,710402,525,709415,3,987
region,London,E12000007,2021-02-26,642,709874,637,708890,5,984
region,London,E12000007,2021-02-25,665,709232,664,708253,1,979
region,London,E12000007,2021-02-24,763,708567,756,707589,7,978
region,London,E12000007,2021-02-23,957,707804,952,706833,5,971
region,London,E12000007,2021-02-22,1045,706847,1038,705881,7,966
region,London,E12000007,2021-02-21,763,705802,760,704843,3,959
region,London,E12000007,2021-02-20,823,705039,819,704083,4,956
region,London,E12000007,2021-02-19,1060,704216,1053,703264,7,952
region,London,E12000007,2021-02-18,1144,703156,1137,702211,7,945
region,London,E12000007,2021-02-17,1129,702012,1126,701074,3,938
region,London,E12000007,2021-02-16,1231,700883,1225,699948,6,935
region,London,E12000007,2021-02-15,1427,699652,1422,698723,5,929
region,London,E12000007,2021-02-14,915,698225,912,697301,3,924
region,London,E12000007,2021-02-13,897,697310,895,696389,2,921
region,London,E12000007,2021-02-12,1315,696413,1308,695494,7,919
region,London,E12000007,2021-02-11,1485,695098,1479,694186,6,912
region,London,E12000007,2021-02-10,1575,693613,1569,692707,6,906
region,London,E12000007,2021-02-09,1704,692038,1698,691138,6,900
region,London,E12000007,2021-02-08,1859,690334,1847,689440,12,894
region,London,E12000007,2021-02-07,1383,688475,1379,687593,4,882
region,London,E12000007,2021-02-06,1591,687092,1586,686214,5,878
region,London,E12000007,2021-02-05,2186,685501,2176,684628,10,873
region,London,E12000007,2021-02-04,2538,683315,2528,682452,10,863
region,London,E12000007,2021-02-03,2779,680777,2771,679924,8,853
region,London,E12000007,2021-02-02,3020,677998,3015,677153,5,845
region,London,E12000007,2021-02-01,3376,674978,3364,674138,12,840
region,London,E12000007,2021-01-31,2288,671602,2286,670774,2,828
region,London,E12000007,2021-01-30,2715,669314,2711,668488,4,826
region,London,E12000007,2021-01-29,3498,666599,3491,665777,7,822
region,London,E12000007,2021-01-28,3972,663101,3961,662286,11,815
region,London,E12000007,2021-01-27,4314,659129,4303,658325,11,804
region,London,E12000007,2021-01-26,4293,654815,4281,654022,12,793
region,London,E12000007,2021-01-25,5104,650522,5096,649741,8,781
region,London,E12000007,2021-01-24,3199,645418,3194,644645,5,773
region,London,E12000007,2021-01-23,4259,642219,4253,641451,6,768
region,London,E12000007,2021-01-22,5740,637960,5728,637198,12,762
region,London,E12000007,2021-01-21,5944,632220,5934,631470,10,750
region,London,E12000007,2021-01-20,6377,626276,6366,625536,11,740
region,London,E12000007,2021-01-19,7213,619899,7203,619170,10,729
region,London,E12000007,2021-01-18,8516,612686,8496,611967,20,719
region,London,E12000007,2021-01-17,5523,604170,5513,603471,10,699
region,London,E12000007,2021-01-16,6311,598647,6306,597958,5,689
region,London,E12000007,2021-01-15,8397,592336,8387,591652,10,684
region,London,E12000007,2021-01-14,9159,583939,9145,583265,14,674
region,London,E12000007,2021-01-13,9508,574780,9500,574120,8,660
region,London,E12000007,2021-01-12,10081,565272,10058,564620,23,652
region,London,E12000007,2021-01-11,11844,555191,11821,554562,23,629
region,London,E12000007,2021-01-10,7641,543347,7637,542741,4,606
region,London,E12000007,2021-01-09,8960,535706,8948,535104,12,602
region,London,E12000007,2021-01-08,10769,526746,10759,526156,10,590
region,London,E12000007,2021-01-07,12354,515977,12344,515397,10,580
region,London,E12000007,2021-01-06,13885,503623,13864,503053,21,570
region,London,E12000007,2021-01-05,14895,489738,14876,489189,19,549
region,London,E12000007,2021-01-04,17652,474843,17627,474313,25,530
region,London,E12000007,2021-01-03,13396,457191,13391,456686,5,505
region,London,E12000007,2021-01-02,13941,443795,13923,443295,18,500
region,London,E12000007,2021-01-01,6889,429854,6885,429372,4,482
region,London,E12000007,2020-12-31,12667,422965,12654,422487,13,478
region,London,E12000007,2020-12-30,17658,410298,17638,409833,20,465
region,London,E12000007,2020-12-29,20265,392640,20243,392195,22,445
region,London,E12000007,2020-12-28,10880,372375,10873,371952,7,423
region,London,E12000007,2020-12-27,13364,361495,13356,361079,8,416
region,London,E12000007,2020-12-26,12085,348131,12074,347723,11,408
region,London,E12000007,2020-12-25,4413,336046,4409,335649,4,397
region,London,E12000007,2020-12-24,9594,331633,9587,331240,7,393
region,London,E12000007,2020-12-23,12532,322039,12522,321653,10,386
region,London,E12000007,2020-12-22,13569,309507,13556,309131,13,376
region,London,E12000007,2020-12-21,13495,295938,13483,295575,12,363
region,London,E12000007,2020-12-20,9078,282443,9070,282092,8,351
region,London,E12000007,2020-12-19,7289,273365,7285,273022,4,343
region,London,E12000007,2020-12-18,11002,266076,10990,265737,12,339
region,London,E12000007,2020-12-17,10317,255074,10306,254747,11,327
region,London,E12000007,2020-12-16,10165,244757,10155,244441,10,316
region,London,E12000007,2020-12-15,8974,234592,8970,234286,4,306
region,London,E12000007,2020-12-14,8438,225618,8435,225316,3,302
region,London,E12000007,2020-12-13,5571,217180,5568,216881,3,299
region,London,E12000007,2020-12-12,4749,211609,4740,211313,9,296
region,London,E12000007,2020-12-11,5538,206860,5535,206573,3,287
region,London,E12000007,2020-12-10,5080,201322,5074,201038,6,284
region,London,E12000007,2020-12-09,4462,196242,4458,195964,4,278
region,London,E12000007,2020-12-08,3759,191780,3754,191506,5,274
region,London,E12000007,2020-12-07,3749,188021,3746,187752,3,269
region,London,E12000007,2020-12-06,2445,184272,2445,184006,0,266
region,London,E12000007,2020-12-05,2277,181827,2276,181561,1,266
region,London,E12000007,2020-12-04,2964,179550,2960,179285,4,265
region,London,E12000007,2020-12-03,2487,176586,2485,176325,2,261
region,London,E12000007,2020-12-02,2839,174099,2833,173840,6,259
region,London,E12000007,2020-12-01,2489,171260,2488,171007,1,253
region,London,E12000007,2020-11-30,2720,168771,2716,168519,4,252
region,London,E12000007,2020-11-29,1670,166051,1669,165803,1,248
region,London,E12000007,2020-11-28,1654,164381,1654,164134,0,247
region,London,E12000007,2020-11-27,2234,162727,2230,162480,4,247
region,London,E12000007,2020-11-26,2092,160493,2092,160250,0,243
region,London,E12000007,2020-11-25,2265,158401,2265,158158,0,243
region,London,E12000007,2020-11-24,2179,156136,2178,155893,1,243
region,London,E12000007,2020-11-23,2430,153957,2424,153715,6,242
region,London,E12000007,2020-11-22,1508,151527,1508,151291,0,236
region,London,E12000007,2020-11-21,1514,150019,1512,149783,2,236
region,London,E12000007,2020-11-20,2152,148505,2148,148271,4,234
region,London,E12000007,2020-11-19,2212,146353,2209,146123,3,230
region,London,E12000007,2020-11-18,2488,144141,2486,143914,2,227
region,London,E12000007,2020-11-17,2597,141653,2596,141428,1,225
region,London,E12000007,2020-11-16,3117,139056,3115,138832,2,224
region,London,E12000007,2020-11-15,1830,135939,1828,135717,2,222
region,London,E12000007,2020-11-14,1960,134109,1960,133889,0,220
region,London,E12000007,2020-11-13,2744,132149,2741,131929,3,220
region,London,E12000007,2020-11-12,2890,129405,2887,129188,3,217
region,London,E12000007,2020-11-11,2961,126515,2958,126301,3,214
region,London,E12000007,2020-11-10,2776,123554,2774,123343,2,211
region,London,E12000007,2020-11-09,3128,120778,3125,120569,3,209
region,London,E12000007,2020-11-08,1792,117650,1789,117444,3,206
region,London,E12000007,2020-11-07,1667,115858,1667,115655,0,203
region,London,E12000007,2020-11-06,2145,114191,2144,113988,1,203
region,London,E12000007,2020-11-05,2115,112046,2112,111844,3,202
region,London,E12000007,2020-11-04,2084,109931,2081,109732,3,199
region,London,E12000007,2020-11-03,2162,107847,2158,107651,4,196
region,London,E12000007,2020-11-02,2965,105685,2962,105493,3,192
region,London,E12000007,2020-11-01,1226,102720,1222,102531,4,189
region,London,E12000007,2020-10-31,1403,101494,1403,101309,0,185
region,London,E12000007,2020-10-30,1895,100091,1894,99906,1,185
region,London,E12000007,2020-10-29,2030,98196,2029,98012,1,184
region,London,E12000007,2020-10-28,1996,96166,1995,95983,1,183
region,London,E12000007,2020-10-27,2111,94170,2107,93988,4,182
region,London,E12000007,2020-10-26,2561,92059,2558,91881,3,178
region,London,E12000007,2020-10-25,1303,89498,1302,89323,1,175
region,London,E12000007,2020-10-24,1458,88195,1457,88021,1,174
region,London,E12000007,2020-10-23,2043,86737,2042,86564,1,173
region,London,E12000007,2020-10-22,2200,84694,2200,84522,0,172
region,London,E12000007,2020-10-21,2376,82494,2376,82322,0,172
region,London,E12000007,2020-10-20,2336,80118,2332,79946,4,172
region,London,E12000007,2020-10-19,2359,77782,2359,77614,0,168
region,London,E12000007,2020-10-18,1308,75423,1304,75255,4,168
region,London,E12000007,2020-10-17,1117,74115,1114,73951,3,164
region,London,E12000007,2020-10-16,1685,72998,1679,72837,6,161
region,London,E12000007,2020-10-15,1740,71313,1737,71158,3,155
region,London,E12000007,2020-10-14,1638,69573,1636,69421,2,152
region,London,E12000007,2020-10-13,1440,67935,1434,67785,6,150
region,London,E12000007,2020-10-12,1590,66495,1585,66351,5,144
region,London,E12000007,2020-10-11,745,64905,745,64766,0,139
region,London,E12000007,2020-10-10,881,64160,881,64021,0,139
region,London,E12000007,2020-10-09,1362,63279,1356,63140,6,139
region,London,E12000007,2020-10-08,1481,61917,1481,61784,0,133
region,London,E12000007,2020-10-07,1425,60436,1423,60303,2,133
region,London,E12000007,2020-10-06,1168,59011,1168,58880,0,131
region,London,E12000007,2020-10-05,1298,57843,1297,57712,1,131
region,London,E12000007,2020-10-04,834,56545,834,56415,0,130
region,London,E12000007,2020-10-03,800,55711,797,55581,3,130
region,London,E12000007,2020-10-02,1040,54911,1038,54784,2,127
region,London,E12000007,2020-10-01,1076,53871,1075,53746,1,125
region,London,E12000007,2020-09-30,1006,52795,1003,52671,3,124
region,London,E12000007,2020-09-29,705,51789,699,51668,6,121
region,London,E12000007,2020-09-28,744,51084,740,50969,4,115
region,London,E12000007,2020-09-27,535,50340,534,50229,1,111
region,London,E12000007,2020-09-26,552,49805,552,49695,0,110
region,London,E12000007,2020-09-25,607,49253,606,49143,1,110
region,London,E12000007,2020-09-24,602,48646,600,48537,2,109
region,London,E12000007,2020-09-23,658,48044,657,47937,1,107
region,London,E12000007,2020-09-22,525,47386,523,47280,2,106
region,London,E12000007,2020-09-21,434,46861,431,46757,3,104
region,London,E12000007,2020-09-20,415,46427,413,46326,2,101
region,London,E12000007,2020-09-19,342,46012,342,45913,0,99
region,London,E12000007,2020-09-18,386,45670,382,45571,4,99
region,London,E12000007,2020-09-17,328,45284,325,45189,3,95
region,London,E12000007,2020-09-16,294,44956,293,44864,1,92
region,London,E12000007,2020-09-15,272,44662,268,44571,4,91
region,London,E12000007,2020-09-14,304,44390,301,44303,3,87
region,London,E12000007,2020-09-13,112,44086,112,44002,0,84
region,London,E12000007,2020-09-12,232,43974,232,43890,0,84
region,London,E12000007,2020-09-11,335,43742,332,43658,3,84
region,London,E12000007,2020-09-10,397,43407,396,43326,1,81
region,London,E12000007,2020-09-09,347,43010,344,42930,3,80
region,London,E12000007,2020-09-08,351,42663,349,42586,2,77
region,London,E12000007,2020-09-07,464,42312,463,42237,1,75
region,London,E12000007,2020-09-06,209,41848,209,41774,0,74
region,London,E12000007,2020-09-05,271,41639,270,41565,1,74
region,London,E12000007,2020-09-04,359,41368,358,41295,1,73
region,London,E12000007,2020-09-03,348,41009,346,40937,2,72
region,London,E12000007,2020-09-02,343,40661,337,40591,6,70
region,London,E12000007,2020-09-01,316,40318,315,40254,1,64
region,London,E12000007,2020-08-31,217,40002,217,39939,0,63
region,London,E12000007,2020-08-30,132,39785,132,39722,0,63
region,London,E12000007,2020-08-29,139,39653,138,39590,1,63
region,London,E12000007,2020-08-28,223,39514,221,39452,2,62
region,London,E12000007,2020-08-27,232,39291,231,39231,1,60
region,London,E12000007,2020-08-26,165,39059,164,39000,1,59
region,London,E12000007,2020-08-25,170,38894,169,38836,1,58
region,London,E12000007,2020-08-24,198,38724,198,38667,0,57
region,London,E12000007,2020-08-23,141,38526,141,38469,0,57
region,London,E12000007,2020-08-22,120,38385,120,38328,0,57
region,London,E12000007,2020-08-21,170,38265,169,38208,1,57
region,London,E12000007,2020-08-20,208,38095,206,38039,2,56
region,London,E12000007,2020-08-19,154,37887,154,37833,0,54
region,London,E12000007,2020-08-18,184,37733,183,37679,1,54
region,London,E12000007,2020-08-17,190,37549,190,37496,0,53
region,London,E12000007,2020-08-16,88,37359,87,37306,1,53
region,London,E12000007,2020-08-15,106,37271,106,37219,0,52
region,London,E12000007,2020-08-14,131,37165,128,37113,3,52
region,London,E12000007,2020-08-13,126,37034,126,36985,0,49
region,London,E12000007,2020-08-12,165,36908,163,36859,2,49
region,London,E12000007,2020-08-11,150,36743,149,36696,1,47
region,London,E12000007,2020-08-10,147,36593,145,36547,2,46
region,London,E12000007,2020-08-09,69,36446,68,36402,1,44
region,London,E12000007,2020-08-08,56,36377,55,36334,1,43
region,London,E12000007,2020-08-07,126,36321,124,36279,2,42
region,London,E12000007,2020-08-06,108,36195,105,36155,3,40
region,London,E12000007,2020-08-05,119,36087,114,36050,5,37
region,London,E12000007,2020-08-04,106,35968,104,35936,2,32
region,London,E12000007,2020-08-03,89,35862,89,35832,0,30
region,London,E12000007,2020-08-02,76,35773,75,35743,1,30
region,London,E12000007,2020-08-01,59,35697,59,35668,0,29
region,London,E12000007,2020-07-31,77,35638,75,35609,2,29
region,London,E12000007,2020-07-30,104,35561,102,35534,2,27
region,London,E12000007,2020-07-29,103,35457,102,35432,1,25
region,London,E12000007,2020-07-28,100,35354,99,35330,1,24
region,London,E12000007,2020-07-27,101,35254,100,35231,1,23
region,London,E12000007,2020-07-26,64,35153,64,35131,0,22
region,London,E12000007,2020-07-25,57,35089,57,35067,0,22
region,London,E12000007,2020-07-24,84,35032,81,35010,3,22
region,London,E12000007,2020-07-23,70,34948,70,34929,0,19
region,London,E12000007,2020-07-22,85,34878,82,34859,3,19
region,London,E12000007,2020-07-21,81,34793,81,34777,0,16
region,London,E12000007,2020-07-20,102,34712,99,34696,3,16
region,London,E12000007,2020-07-19,42,34610,41,34597,1,13
region,London,E12000007,2020-07-18,48,34568,47,34556,1,12
region,London,E12000007,2020-07-17,48,34520,48,34509,0,11
region,London,E12000007,2020-07-16,70,34472,70,34461,0,11
region,London,E12000007,2020-07-15,76,34402,76,34391,0,11
region,London,E12000007,2020-07-14,63,34326,63,34315,0,11
region,London,E12000007,2020-07-13,85,34263,85,34252,0,11
region,London,E12000007,2020-07-12,38,34178,38,34167,0,11
region,London,E12000007,2020-07-11,20,34140,20,34129,0,11
region,London,E12000007,2020-07-10,39,34120,39,34109,0,11
region,London,E12000007,2020-07-09,54,34081,53,34070,1,11
region,London,E12000007,2020-07-08,59,34027,57,34017,2,10
region,London,E12000007,2020-07-07,60,33968,60,33960,0,8
region,London,E12000007,2020-07-06,55,33908,54,33900,1,8
region,London,E12000007,2020-07-05,52,33853,51,33846,1,7
region,London,E12000007,2020-07-04,32,33801,32,33795,0,6
region,London,E12000007,2020-07-03,38,33769,37,33763,1,6
region,London,E12000007,2020-07-02,43,33731,40,33726,3,5
region,London,E12000007,2020-07-01,43,33688,42,33686,1,2
region,London,E12000007,2020-06-30,52,33645,52,33644,0,1
region,London,E12000007,2020-06-29,59,33593,58,33592,1,1
region,London,E12000007,2020-06-28,22,33534,22,33534,,
region,London,E12000007,2020-06-27,32,33512,32,33512,,
region,London,E12000007,2020-06-26,48,33480,48,33480,,
region,London,E12000007,2020-06-25,58,33432,58,33432,,
region,London,E12000007,2020-06-24,46,33374,46,33374,,
region,London,E12000007,2020-06-23,50,33328,50,33328,,
region,London,E12000007,2020-06-22,53,33278,53,33278,,
region,London,E12000007,2020-06-21,26,33225,26,33225,,
region,London,E12000007,2020-06-20,29,33199,29,33199,,
region,London,E12000007,2020-06-19,38,33170,38,33170,,
region,London,E12000007,2020-06-18,47,33132,47,33132,,
region,London,E12000007,2020-06-17,42,33085,42,33085,,
region,London,E12000007,2020-06-16,47,33043,47,33043,,
region,London,E12000007,2020-06-15,40,32996,40,32996,,
region,London,E12000007,2020-06-14,30,32956,30,32956,,
region,London,E12000007,2020-06-13,39,32926,39,32926,,
region,London,E12000007,2020-06-12,53,32887,53,32887,,
region,London,E12000007,2020-06-11,46,32834,46,32834,,
region,London,E12000007,2020-06-10,52,32788,52,32788,,
region,London,E12000007,2020-06-09,71,32736,71,32736,,
region,London,E12000007,2020-06-08,55,32665,55,32665,,
region,London,E12000007,2020-06-07,45,32610,45,32610,,
region,London,E12000007,2020-06-06,46,32565,46,32565,,
region,London,E12000007,2020-06-05,46,32519,46,32519,,
region,London,E12000007,2020-06-04,57,32473,57,32473,,
region,London,E12000007,2020-06-03,78,32416,78,32416,,
region,London,E12000007,2020-06-02,50,32338,50,32338,,
region,London,E12000007,2020-06-01,49,32288,49,32288,,
region,London,E12000007,2020-05-31,37,32239,37,32239,,
region,London,E12000007,2020-05-30,38,32202,38,32202,,
region,London,E12000007,2020-05-29,57,32164,57,32164,,
region,London,E12000007,2020-05-28,74,32107,74,32107,,
region,London,E12000007,2020-05-27,83,32033,83,32033,,
region,London,E12000007,2020-05-26,64,31950,64,31950,,
region,London,E12000007,2020-05-25,58,31886,58,31886,,
region,London,E12000007,2020-05-24,51,31828,51,31828,,
region,London,E12000007,2020-05-23,64,31777,64,31777,,
region,London,E12000007,2020-05-22,86,31713,86,31713,,
region,London,E12000007,2020-05-21,157,31627,157,31627,,
region,London,E12000007,2020-05-20,141,31470,141,31470,,
region,London,E12000007,2020-05-19,128,31329,128,31329,,
region,London,E12000007,2020-05-18,113,31201,113,31201,,
region,London,E12000007,2020-05-17,79,31088,79,31088,,
region,London,E12000007,2020-05-16,74,31009,74,31009,,
region,London,E12000007,2020-05-15,132,30935,132,30935,,
region,London,E12000007,2020-05-14,159,30803,159,30803,,
region,London,E12000007,2020-05-13,203,30644,203,30644,,
region,London,E12000007,2020-05-12,191,30441,191,30441,,
region,London,E12000007,2020-05-11,160,30250,160,30250,,
region,London,E12000007,2020-05-10,123,30090,123,30090,,
region,London,E12000007,2020-05-09,128,29967,128,29967,,
region,London,E12000007,2020-05-08,208,29839,208,29839,,
region,London,E12000007,2020-05-07,273,29631,273,29631,,
region,London,E12000007,2020-05-06,267,29358,267,29358,,
region,London,E12000007,2020-05-05,216,29091,216,29091,,
region,London,E12000007,2020-05-04,245,28875,245,28875,,
region,London,E12000007,2020-05-03,170,28630,170,28630,,
region,London,E12000007,2020-05-02,248,28460,248,28460,,
region,London,E12000007,2020-05-01,355,28212,355,28212,,
region,London,E12000007,2020-04-30,426,27857,426,27857,,
region,London,E12000007,2020-04-29,432,27431,432,27431,,
region,London,E12000007,2020-04-28,311,26999,311,26999,,
region,London,E12000007,2020-04-27,418,26688,418,26688,,
region,London,E12000007,2020-04-26,310,26270,310,26270,,
region,London,E12000007,2020-04-25,332,25960,332,25960,,
region,London,E12000007,2020-04-24,375,25628,375,25628,,
region,London,E12000007,2020-04-23,520,25253,520,25253,,
region,London,E12000007,2020-04-22,399,24733,399,24733,,
region,London,E12000007,2020-04-21,463,24334,463,24334,,
region,London,E12000007,2020-04-20,425,23871,425,23871,,
region,London,E12000007,2020-04-19,398,23446,398,23446,,
region,London,E12000007,2020-04-18,401,23048,401,23048,,
region,London,E12000007,2020-04-17,577,22647,577,22647,,
region,London,E12000007,2020-04-16,574,22070,574,22070,,
region,London,E12000007,2020-04-15,657,21496,657,21496,,
region,London,E12000007,2020-04-14,600,20839,600,20839,,
region,London,E12000007,2020-04-13,601,20239,601,20239,,
region,London,E12000007,2020-04-12,502,19638,502,19638,,
region,London,E12000007,2020-04-11,518,19136,518,19136,,
region,London,E12000007,2020-04-10,622,18618,622,18618,,
region,London,E12000007,2020-04-09,791,17996,791,17996,,
region,London,E12000007,2020-04-08,867,17205,867,17205,,
region,London,E12000007,2020-04-07,946,16338,946,16338,,
region,London,E12000007,2020-04-06,858,15392,858,15392,,
region,London,E12000007,2020-04-05,636,14534,636,14534,,
region,London,E12000007,2020-04-04,765,13898,765,13898,,
region,London,E12000007,2020-04-03,984,13133,984,13133,,
region,London,E12000007,2020-04-02,1063,12149,1063,12149,,
region,London,E12000007,2020-04-01,977,11086,977,11086,,
region,London,E12000007,2020-03-31,935,10109,935,10109,,
region,London,E12000007,2020-03-30,848,9174,848,9174,,
region,London,E12000007,2020-03-29,596,8326,596,8326,,
region,London,E12000007,2020-03-28,577,7730,577,7730,,
region,London,E12000007,2020-03-27,818,7153,818,7153,,
region,London,E12000007,2020-03-26,740,6335,740,6335,,
region,London,E12000007,2020-03-25,752,5595,752,5595,,
region,London,E12000007,2020-03-24,636,4843,636,4843,,
region,London,E12000007,2020-03-23,685,4207,685,4207,,
region,London,E12000007,2020-03-22,439,3522,439,3522,,
region,London,E12000007,2020-03-21,348,3083,348,3083,,
region,London,E12000007,2020-03-20,424,2735,424,2735,,
region,London,E12000007,2020-03-19,332,2311,332,2311,,
region,London,E12000007,2020-03-18,357,1979,357,1979,,
region,London,E12000007,2020-03-17,310,1622,310,1622,,
region,London,E12000007,2020-03-16,237,1312,237,1312,,
region,London,E12000007,2020-03-15,165,1075,165,1075,,
region,London,E12000007,2020-03-14,149,910,149,910,,
region,London,E12000007,2020-03-13,138,761,138,761,,
region,London,E12000007,2020-03-12,167,623,167,623,,
region,London,E12000007,2020-03-11,183,456,183,456,,
region,London,E12000007,2020-03-10,95,273,95,273,,
region,London,E12000007,2020-03-09,54,178,54,178,,
region,London,E12000007,2020-03-08,22,124,22,124,,
region,London,E12000007,2020-03-07,14,102,14,102,,
region,London,E12000007,2020-03-06,23,88,23,88,,
region,London,E12000007,2020-03-05,13,65,13,65,,
region,London,E12000007,2020-03-04,15,52,15,52,,
region,London,E12000007,2020-03-03,6,37,6,37,,
region,London,E12000007,2020-03-02,12,31,12,31,,
region,London,E12000007,2020-03-01,3,19,3,19,,
region,London,E12000007,2020-02-29,1,16,1,16,,
region,London,E12000007,2020-02-28,0,15,0,15,,
region,London,E12000007,2020-02-27,1,15,1,15,,
region,London,E12000007,2020-02-26,0,14,0,14,,
region,London,E12000007,2020-02-25,1,14,1,14,,
region,London,E12000007,2020-02-24,1,13,1,13,,
region,London,E12000007,2020-02-23,3,12,3,12,,
region,London,E12000007,2020-02-22,0,9,0,9,,
region,London,E12000007,2020-02-21,1,9,1,9,,
region,London,E12000007,2020-02-20,0,8,0,8,,
region,London,E12000007,2020-02-19,0,8,0,8,,
region,London,E12000007,2020-02-18,0,8,0,8,,
region,London,E12000007,2020-02-17,1,8,1,8,,
region,London,E12000007,2020-02-16,0,7,0,7,,
region,London,E12000007,2020-02-15,0,7,0,7,,
region,London,E12000007,2020-02-14,0,7,0,7,,
region,London,E12000007,2020-02-13,1,7,1,7,,
region,London,E12000007,2020-02-12,0,6,0,6,,
region,London,E12000007,2020-02-11,4,6,4,6,,
region,London,E12000007,2020-02-10,1,2,1,2,,
region,London,E12000007,2020-02-09,0,1,0,1,,
region,London,E12000007,2020-02-08,0,1,0,1,,
region,London,E12000007,2020-02-07,0,1,0,1,,
region,London,E12000007,2020-02-06,0,1,0,1,,
region,London,E12000007,2020-02-05,0,1,0,1,,
region,London,E12000007,2020-02-04,0,1,0,1,,
region,London,E12000007,2020-02-03,1,1,1,1,,
